KdNr|KdNachname|KdVorname|KdTitel|KdAkadGrad|KdFirma1|KdFirma2|KdGeschlecht|KdStrasse|KdLand|KdPlz|KdOrt|KdTelefon|KdFax|KdMobil|KdEmail|KdWWW|KdGebDatum|KdSkonto|KdSkontoTage|KdZiel|KdLieferschein|KdGesperrt|KdHinweis|KdErfasst|KdGeaendert|KdAktiv
142|Wolf|Franz|||Magistrat Graz|Hochbauamt|5|Herrengasse 7|A|8010|Graz|||||||0.0|0|0|0|0||2000-12-08 00:00:00||1
141|Meier|Karl|||Meiers Kantine||4|Bahnhofstraße 33|A|8010|Graz||||kantine@aonline.at|||0.0|0|0|1|0||2000-10-22 00:00:00||1
140|Frisch|Michael|||||2|Wittholmstraße 117|D|78467|Konstanz|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
139|Wolff|Erich|||||2|Luftweg 57|D|70376|Stuttgart|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
138|Schmid|Michael|Ing.||||2|Pulitschgasse 54|D|40225|Düsseldorf|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
137|Weiser|Karin||Mag.|||1|Mardornstraße 54|A|8010|Graz|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
136|Deutschmann|Petra||Mag.|||1|Rosenweg 10|D|47198|Duisburg||||petra@diebeste.co.at|||0.0|0|0|0|0||2000-10-22 00:00:00||1
135|Zimmer|Alexandra|||||1|Bürgersteig 12|D|70376|Stuttgart|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
134|Thom|Michael||Dr.|||2|Sonnenweg 4|D|40225|Düsseldorf|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
133|Krischan|Gerald||Mag. Dr.|||2|Anton Wildgans Weg 46|A|9020|Salzburg|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
132|Sauber|Ursula||Dipl.-Ing.|||1|Ulrichstraße 75|D|90403|Nürnberg|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
131|Meier|Michaela||Dipl.-Kfm.|||1|Augustusallee 12|D|80686|München|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
130|Konrad|Heimo||Dipl.-Vw.|||2|Gustolderstraße 4|D|99091|Erfurt|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
129|Germ|Iris|||||1|Otto Wagner Straße 89|A|8045|Graz|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
128|Bogner|Gerald||Dipl.-Vw.|||2|Mondscheingasse 3|D|70376|Stuttgart|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
127|Thaller|Stephanie|||||1|Merolingergasse 89|D|46357|Essen|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
126|Lukanz|Gitti|||||1|Heßgasse 11|D|14055|Berlin|||||||0.0|0|0|1|1||2000-10-22 00:00:00||1
125|Killian|Sabina|||||1|Am Damm 7|D|04109|Leipzig|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
124|Kahr|Ulrike|Prof.|Dr.|||1|Frühlingsweg 5|A|1200|Wien|||||||0.0|0|0|1|0||2000-10-22 00:00:00||1
123|Mosing|Markus|||||2|Patrick Eger - Straße 14|D|04109|Leipzig|||||||0.0|0|0|0|0||2000-10-22 00:00:00||1
122|Schulz|Peter|||||2|Pfingstalle 13|D|14055|Berlin|||||||0.0|0|0|0|1|Insolvenzverfahren eröffnet|2000-10-22 00:00:00||1
121|Prazsky|Bernhard||Mag.|||2|Humbertstraße 134|D|80102|München||||bernhard.prazsky@presento.com|||0.0|0|0|1|0||2000-10-22 00:00:00|2009-01-31 17:37:00|1
